gene_ID	log10_9am	pvalue_9am	log10_9pm	pvalue_9pm
AT1G20510	0.008392077	0.28263504	0.00516571	0.327184845
AT1G20520	0.010932599	0.185530142	0.015008039	1
AT1G20540	0.131261426	1	-0.100338583	1
AT1G20560	0.010932599	0.185530142	0.000804623	0.468407737
AT1G20575	0.010932599	0.185530142	-0.10258794	1
AT1G20580	-0.008835141	1	0.006781294	1
AT1G20620	-0.017343851	0.026667902	-0.004213649	0.305364561
AT1G20630	-0.00938658	0.124549317	0.003104386	0.444463648
AT1G20760	0.1186344	0.042132116	-0.082328189	1
AT1G20810	-0.001821774	0.411540253	0.037016745	0.225137213
AT1G20816	0.010932599	0.185530142	0.000804623	0.468407737
AT1G20830	0.010932599	0.185530142	0.111260516	1
AT1G20840	0.010932599	0.185530142	-0.056657631	1
AT1G20850	-0.113622419	1	0.000804623	0.468407737
AT1G20950	0.004431262	0.341958502	0.012411851	0.269870266
AT1G20960	0.012482851	0.170343678	-0.000189709	0.493965103
AT1G21065	0.010932599	0.185530142	0.119079624	1
AT1G21080	0.117934418	0.005269112	0.07830184	1
AT1G21130	-0.000823827	1	0.127555757	1
AT1G21160	0.010932599	0.185530142	0.091435468	1
AT1G21170	0.075241621	1	0.000804623	0.468407737
AT1G21210	0.153280186	1	0.000804623	0.468407737
AT1G21240	0.010932599	0.185530142	0.111453421	1
AT1G21250	0.145759664	1	0.014663794	0.162078033
AT1G21270	0.153280186	1	0.000804623	0.468407737
AT1G21350	0.011273967	0.150255889	0.004072018	0.166660022
AT1G21380	0.106897598	0.012397564	0.000804623	0.468407737
AT1G21440	-0.008266386	0.251154499	-0.011341329	0.311782544
AT1G21500	-0.029091154	0.076957527	0.100427413	0.162166884
